title,company,location,date,summary,url
Senior Contaminant Hydrogeologist,Millennium EMS Solutions,"Sherwood Park, AB",29 days ago,"Currently we employ over 140 employees in various disciplines including, hydrogeologists, engineers, soil scientists, foresters, vegetation ecologists, auditors...",https://www.indeed.ca//rc/clk?jk=0ce6df556cec1ecc&fccid=930950bd60de2141&vjs=3
"Senior Manager, Omnia AI - Edmonton",Deloitte,"Edmonton, AB",30+ days ago,"Take a leading role in delivering advisory services to high growth organizations with a diverse team consisting of data scientists, data architects, software...",https://www.indeed.ca//rc/clk?jk=1218ed9e5cb421e6&fccid=9e215d88a6b33622&vjs=3
Product Development Manager,Atlas Growers,"Spruce Grove, AB",30+ days ago,"Identification of data collection strategy. The goal of this research is to provide clinical, reliable data to Canadians and the world as this nascent industry...",https://www.indeed.ca//rc/clk?jk=00762c8790a1619b&fccid=3f6c4ab2ff727a80&vjs=3
Software Developer 2 -Natural Language Understanding,Intuit,"Edmonton, AB",30+ days ago,"Working knowledge of data querying and data processing tools (e SQL, Python, NumPy). As part of the team, you will work with product managers, data scientists,...",https://www.indeed.ca//rc/clk?jk=fefd2350cc5cde6f&fccid=9784ae78e9834539&vjs=3
"Territory Sales Manager - Edmonton, Alberta, Canada",JUUL Labs,"Edmonton, AB",30+ days ago,Able to make data driven decisions. Proficiency with and willingness to learn new sales technology and data analytics. JUUL LABS PERKS & BENEFITS:....,https://www.indeed.ca//rc/clk?jk=b61bc749c7d6a273&fccid=6e0a19936820440f&vjs=3
Senior Analyst,Bureau Veritas Laboratories,"Edmonton, AB",30+ days ago,"Reviews and interprets data, highlights errors and/or requests reworks. Join our talented community of scientists and experts and apply today at http://bvlabs...",https://www.indeed.ca//rc/clk?jk=a291c0af933ab2b8&fccid=fdd8787d3dc18c3e&vjs=3
Backend Python/Django Developer,selfdecode.com,"Edmonton, AB",30+ days ago,Able to integrate multiple data sources and databases into one system. We are a fast-growing and leading company in the personalized health space....,https://www.indeed.ca//rc/clk?jk=5355bc8a75405cf7&fccid=41765cf8195baf38&vjs=3
Senior Product Designer - Interaction,Intuit,"Edmonton, AB",30+ days ago,"Effectively collaborate with and influence your project partners and the product organization made up of other designers, content strategists, product managers,...",https://www.indeed.ca//rc/clk?jk=3345681d2be81e6b&fccid=9784ae78e9834539&vjs=3
Assistant or Associate Professor,University of Alberta,"Edmonton, AB",30+ days ago,"Preference will be given to clinician scientists who are working in addictions and/or child & adolescent psychiatry, and appointments are targeted at the level...",https://www.indeed.ca//rc/clk?jk=262cbe46bff690c1&fccid=09ac3ce4d9d271d1&vjs=3
Assistant/Associate/Professor Clinician Scientist and Endowed Chair in Clinical and/or Outcomes Research,University of Alberta,"Edmonton, AB",5 months ago,"Data Coordinating Centre – WCHRI’s data coordinating centre (DCC) assists researchers in obtaining high-quality, statistically appropriate, verifiable data in...",https://www.indeed.ca//rc/clk?jk=3a3e2fc7786e2c2a&fccid=09ac3ce4d9d271d1&vjs=3
